1,1,0.43,0.15,0.33,0.09
1,2,0.49262,0.082718,0.37049,0.054175
1,3,0.44864,0.08466,0.41379,0.052913
1,4,0.55029,0.069029,0.33845,0.042233
1,5,0.65039,0.1167,0.20971,0.023204
2,1,0.09,0.18,0.34,0.39
2,2,0.056214,0.28777,0.17049,0.48553
2,3,0.044175,0.21505,0.11845,0.62233
2,4,0.047476,0.25136,0.11718,0.58398
2,5,0.034369,0.1599,0.14379,0.66194
3,1,0.07,0.07,0.53,0.33
3,2,0.099029,0.1068,0.51786,0.27631
3,3,0.074951,0.086311,0.56175,0.27699
3,4,0.11301,0.062718,0.63019,0.19408
3,5,0.067864,0.044757,0.66311,0.22427
4,1,0.26,0.5,0.01,0.23
4,2,0.32398,0.56699,0.0082524,0.10078
4,3,0.19029,0.62534,0.0098058,0.17456
4,4,0.14563,0.71806,0.01068,0.12563
4,5,0.14417,0.70369,0.036505,0.11563
5,1,0.4,0.44,0.06,0.1
5,2,0.3032,0.58631,0.043592,0.066893
5,3,0.13748,0.8066,0.023204,0.032718
5,4,0.15981,0.80524,0.015825,0.019126
5,5,0.10155,0.84709,0.013204,0.038155
6,1,0.36,0.12,0.37,0.15
6,2,0.53311,0.085728,0.27544,0.10573
6,3,0.61961,0.14893,0.16845,0.06301
6,4,0.4799,0.27505,0.1301,0.11495
6,5,0.74728,0.12223,0.073883,0.056602
7,1,0.27,0.01,0.45,0.27
7,2,0.15932,0.0066019,0.68204,0.15204
7,3,0.09534,0.006699,0.69796,0.2
7,4,0.07932,0.0068932,0.75272,0.16107
7,5,0.10825,0.0047573,0.78437,0.10262
8,1,0.09,0.15,0.48,0.28
8,2,0.1834,0.097184,0.54515,0.17427
8,3,0.11282,0.072816,0.59243,0.22194
8,4,0.35204,0.051359,0.45058,0.14602
8,5,0.30825,0.045728,0.43476,0.21126
9,1,0.32,0.18,0.15,0.35
9,2,0.42796,0.13184,0.11485,0.32534
9,3,0.49922,0.099515,0.17456,0.2267
9,4,0.57476,0.14612,0.11767,0.16146
9,5,0.6034,0.14583,0.11359,0.13718
10,1,0.07,0.24,0.27,0.42
10,2,0.17709,0.35942,0.17903,0.28447
10,3,0.11398,0.56728,0.12252,0.19621
10,4,0.077282,0.62058,0.082718,0.21942
10,5,0.059029,0.58417,0.061165,0.29563
