site_id,response_generator_id,mission_1_training_time,mission_1_time,mission_2_training_time,mission_2_time,mission_3_training_time,mission_3_time,mission_4_training_time,mission_4_time,mission_5_training_time,mission_5_time,exam_training_time,exam_time
PSU,021,669303,1048697,76143,703857,64381,725619,122204,947796,128661,1135339,669303,5622000
PSU,022,934016,1131984,240002,781998,84580,967420,153553,784447,66564,625436,934016,5770000
PSU,023,649762,1042238,184969,635031,169932,1012068,145617,990383,63203,926797,649762,5820000
PSU,024,713115,754885,90549,733451,35370,904630,137962,972038,89901,826099,713115,5258000
PSU,025,0,671986,144505,627495,67671,1170329,108120,679880,79902,768098,0,4317986
PSU,026,1023059,1188941,96195,775805,65336,902664,73667,572333,40220,527780,1023059,5266000
PSU,027,0,568949,65834,716166,76303,803697,127726,844274,65224,676776,0,3944949
PSU,028,0,1089240,170719,673281,103459,1116541,161768,1026232,84052,1105948,0,5531240
PSU,029,0,1760572,106186,769814,86393,1631607,123846,860154,57191,1036809,0,6432572
PSU,030,0,429219,63833,364167,47429,658571,107907,508093,42156,497844,0,2719219
PSU,031,0,1002114,107400,552600,83257,726743,76574,827426,35220,732780,0,4144114
PSU,032,0,983394,62288,687712,48377,1045623,69690,1036310,31876,752124,0,4717394
PSU,033,0,564909,136498,545502,50899,581101,145082,1144918,38177,979823,0,4186909
PSU,034,0,769596,87722,490278,97053,618947,138743,659257,91320,678680,0,3631596
PSU,035,0,637168,158950,623050,110036,1017964,151969,654031,55020,958980,0,4367168
PSU,036,0,959698,85402,602598,89902,720098,81617,590383,83714,748286,0,3961698
PSU,037,0,1390384,120909,509091,104488,685512,158896,511104,54094,497906,0,4032384
PSU,038,0,549261,181873,350127,170454,537546,166479,611521,110108,681892,0,3359261
PSU,039,0,899248,123501,664499,137334,1184666,102915,835085,29996,622004,0,4599248
PSU,040,0,829453,166147,589853,30124,877876,271943,1038057,48422,839578,0,4691453
PSU,041,0,903787,141836,600164,52911,793089,109863,812137,20876,625124,0,4059787
PSU,042,0,707180,182123,545877,121056,610944,165823,846177,42874,673126,0,3895180
PSU,043,0,1458244,193398,912602,156275,1235725,169759,816241,75011,816989,0,5834244
PSU,044,563659,1368341,110934,857066,28712,1255288,117276,816724,66770,881230,563659,6066000
PSU,045,0,617168,57156,604844,10543,661457,69003,440997,52463,591537,0,3105168
PSU,046,0,2460358,233751,1484249,60617,1361383,67453,1112547,18934,1091066,0,7890358
PSU,047,0,1269421,140145,793855,94965,1403035,85490,1008510,48501,1445499,0,6289421
PSU,048,0,500866,94518,557482,52437,507563,59116,316884,27735,420265,0,2536866
PSU,049,0,808487,101932,582068,94652,1051348,127278,788722,58752,665248,0,4278487
PSU,050,530195,1409805,119784,802216,129322,1372678,81725,882275,62902,583098,530195,5974000
